eng,hin
Know thyself.,अपने आप को जानो।
Kobe is the city which I was born in.,कोबे वह शहर है जिसमें मैं पैदा हुआ था।
Lakshadweep is a union territory of India.,लक्षद्वीप भारत का एक केंद्र-शासित प्रदेश है।
"Last night you forgot to turn off the radio, didn't you?",तुम कल रात रेडियो को बंद करना भूल गए थे ना?
Last week five students were absent from class.,पिछले हफ़्ते क्लास से पाँच विद्यार्थी अनुपस्थित थे।
Laurie is reading a book now.,लौरी अब एक पुस्तक पड रही है।
Lava is dangerous.,लावा खतरनाक होता है।
Learning a foreign language is fun.,विदेषी भाषा सीखना बहुत मज़ेदार होता है।
Learning English is hard work.,अंग्रेज़ी सीखना कड़ी मेहनत का काम है।
"Learn these words, one by one.",इन शब्दों को एक-एक करके याद करो।
Leave her.,छोड़ दीजिए उसे.
Leave her.,छोड़ दो उसे.
Leave it to me to prepare lunch.,खाना बनाना मुझपर छोड़ दो।
Leave it.,छोड़।
Leave your umbrella at the front door.,अपने छाते को सामने वाले द्वार छोड़ दो।
Leave!,छोड़ो!
Let go of the bottle.,बोतल छोड़।
Let go of the bottle.,बोतल छोड़ दे।
Let go of the bottle.,बोतल छोड़ दो।
Let go of the rope.,रस्सी को छोड़ दो।
Let Grandma take care of the kid.,दादीजी को बच्चे का ख्याल रखने दो।
Let Grandma take care of the kid.,नानीजी को बच्चे का ख्याल रखने दो।
Let him in.,उसे अंगर आने दो।
Let him in.,उसे अंदर भेजो।
Let me do it my way.,मुझे अपने तरीके से करने दीजिए।
Let me give you a lift as far as the station.,मुझे तुम्हें स्टेशन तक पहुँचाने दो।
Let me go.,जाने दे मुझे।
Let me go.,मुझे जाने दो।
Let me handle this.,यह मुझे संभालने दो।
Let me introduce my wife.,यह मेरी पत्नी है।
Let me see your ring.,मुझे अपनी अँगूठी देखने दीजिए।
Let me see your ring.,मुझे अपनी अँगूठी देखने दो।
Let me talk to Tom first.,पहले मुझे टॉम से बात करने दो।
Let me tell Tom.,टॉम को मुझे बताने दो।
Let me tell Tom.,मुझे टॉम को बताने दीजिए।
Let me try it.,मुझे ट्राए करने दो।
Let's cut down our expenses.,हमें अपने खर्चे कम करने होंगे।
Let's do it for Tom.,टॉम के लिये करते हैं।
Let's do it tonight.,आज रात करते हैं।
Let's do something together.,चलो मिल कर कुछ करते हैं।
Let's eat first.,पहले खा लेते है।
Let's finish it now.,चलो अभी खत्म कर देते हैं।
Let's fly kites.,चलो पतंग उड़ाएँ!
Let's fuck.,चोदते हैं।
Let's get together here once a week.,हमे यहाँ हफ़्ते में एक बार मिलना चाहिए।
Let's go ask Tom.,टॉम से पूछते हैं।
"Let's go home, Tom.","घर चलते हैं, टॉम।"
"Let's go home, Tom.","चलो घर चलते हैं, टॉम।"
Let's help Tom.,चलो टॉम की मदद करते हैं।
Let's just eat here.,चलो यहीं खा लेते हैं।
Let's listen.,सुनते हैं।
Let's meet here again tomorrow.,यहाँ पर कल फिर मिलते हैं।
Let's order twenty kebabs!,बारह कबाब मंगाते हैं!
Let's play a new game.,नया खेल खेलते हैं।
Let's play baseball!,चलो बेसबॉल खेलतें हैं।
Let's put this near the door.,इसे दरवाज़े के पास रख देते हैं।
Let's start at 2:30.,२:३० बजे शुरू करते हैं।
Let's start with that.,उससे शुरुआत करते हैं।
Let's start with this.,इससे शुरुआत करते हैं।
Let's take a rest in the shade.,चलो छाया में थोड़ा आराम करलें।
Let's take a train.,रेलगाड़ी से चलते हैं।
Let's talk.,चलो बात करते हैं।
Let's try to understand one another.,एक-दूसरे को समझने की कोशिश करते हैं।
Let these people go.,इन लोगों को जाने दो।
Let the tea draw for ten minutes.,चाय को दस मिनट के लिए उबलने दीजिए।
Liar!,झूठी!
Liar!,झूठी कहीं की!
Liar!,झूठे!
Liar!,झूठे कहीं के!
Life is a mirror!,ज़िंदगी एक आईना है!
Life is for one generation; a good name is forever.,"ज़िंदगी तो कुल एक पीढ़ी भर की होती है, पर नेक काम पीढ़ी दर पीढ़ी चलता है।"
"Like master, like disciple.",जैसा गुरू वैसा चेला।
Like talking to a wall.,भैंस के आगे बीन बजाना।
Like us on Facebook!,फ़ेसबुक पर हमें लाइक करें!
Like us on Facebook!,फ़ेसबुक पर हमें लाइक कीजिए!
Lions feed on flesh.,शेर मास खाते हैं।
Lisbon is the capital of Portugal.,पुर्तगाल की राजधानी लिस्बन है।
"Listening to him, she got tired.",उनकी बात सुनते-सुनते वह थक गयी।
"Listening to him, she got tired.",उसकी बात सुनते-सुनते वे थक गयीं।
"Listen to me, Tom.","मेरी बात सुनो, टॉम।"
"Listen to me, Tom.","मेरी सुनो, टॉम।"
Listen!,सुन!
Listen.,सुन।
Listen!,सुनिए!
Listen.,सुनो।
London is one of the largest cities in the world.,लंदन दुनिया के सबसे बड़े शहरों में से एक है।
London is the capital of the United Kingdom.,संयुक्त राज्य की राजधानी लंदन है।
"London, the capital of England, is on the Thames.",इंग्लैंड की राजधानी लंदन थेम्स नदी के किनारे है।
Long live the Persian language!,फ़ारसी ज़ुबान ज़िंदाबाद!
Look at that girl!,उस लड़की को तो देख!
Look at that girl!,उस लड़की को तो देखो!
Look at that girl!,उस लड़की को देखिए!
Look at those black clouds.,उन काले बादलों को देख।
Look at those black clouds.,उन काले बादलों को देखिए।
Look carefully. I'm going to show you how it's done.,ग़ौर से देखा। मैं तुम्हें दिखाऊँगा कैसे किया जाता है।
Look how fast he runs!,देखो वह कितना तेज़ दौड़ता है!
Looking at your Facebook friends' photos is a waste of time.,फ़ेसबुक पर अपने दोस्तों की तसवीरें देखते बैठना मतलब वक़्त की बरबादी है।
"Look, there's a cat in the kitchen.","देखो, रसोई में बिल्ली है।"
Look up the phrase in your dictionary.,शब्दकोश में उस वाक्यांश को ढूँढो।
Look!,देख!
Look!,देखो!
Losing your friendship saddened me deeply.,मुझे ग्रिल्ड मशरूम बहुत पसंद हैं।
Louder.,और जोर से।
"Louie, your friends are coming.","लुई, तुम्हारे दोस्त आ रहे हैं।"
Love the earth.,पृथ्वी से प्यार करो।
Magnesium is a chemical element.,मैग्नीशियम एक रासायनिक पदार्थ है.
Make a good translation of the sentence that you are translating. Don't let translations into other languages influence you.,"आप जिस वाक्य का अनुवाद कर रहे हैं, उस ही का अच्छी तरह से अनुवाद करें। दूसरी भाषाओं के अनुवादों से प्रभावित न होने दें।"
Make it quick.,जल्दी करो।
Make it quick.,जल्दी कीजिए।
Make sure to turn off all the lights before going out.,बहार जाने से पहले सारी बत्तियाँ बंद करना मत भूलना।
Malibu is on the coast of Southern California.,मालिबू दक्षिणी कॅलिफॉर्निया के समुद्र-तट पर है।
Management of a company is different from ownership of a company.,किसी कम्पनी को चलाना उसके मालिक बनने से फ़र्क होता है।
Man is 70% water.,आदमी सत्तर प्रतिशत पानी का बना हुआ है।
Man's body is a sort of machine.,इनसान का शरीर एक तरह की मशीन होती है।
Many great men went through hardship during their youth.,कई महान पुरुषों को अपने जवानी में कठिनाई का सामना करना पड़ा।
Many people encouraged me to fulfill my ambitions.,अपनी अभिलाषाओं को पूरी करने के लिए मुझे बहुत से लोगों ने बढ़ावा दिया।
Many people were killed in the accident.,दुर्घटना में कई लोग मारे गये।
Many soldiers were killed here.,यहाँ कई सारे सैनिक मारे गये थे।
"Many words are pronounced according to the spelling, but some are not.","बहुत सारे शब्दों को उनकी वर्तनी के हिसाब से पढ़ा जाता है, पर कुछ शब्दों को ऐसे नहीं पढ़ा जाता है।"
Many young Romans went to Greece.,कई जवान रोमन यूनान गएं।
Mariko studied not only English but also German.,मारिको ने अंग्रेज़ी ही नहीं जर्मन भी पढ़ी थी।
"Mario, stop calling me gay! I'm straight!","मारीओ, मुझे समलैंगिक कहना बंद करो! मैं सीधा हूँ!"
Marriage is a covered dish.,विवाह एक ढका हुआ पकवान है।
Mars is the god of war.,मार्स युद्ध का देवता है।
Mary and Alice aren't sisters.,मैरी और एलिस बहनें नहीं हैं।
Mary can swim.,मैरी तैर सकती है।
Mary is a kindergarten teacher.,मेरी नर्सरी टीचर है।
Mary is attractive.,मैरी आकर्षक है।
Mary is interested in politics.,मेरी को राजनीति में दिलचस्पी है।
Mary is kneeling.,मैरी घुटने टेक रही है।
Mary is my girlfriend.,मैरी मेरी गर्लफ़्रेंड है।
Mary is my mother.,मैरी मेरी माँ है।
Mary is setting by money to go to Japan.,मेरी जापान जाने के लिए पैसे जुटा रही है।
Mary is tall.,मैरी लंबी है।
Mary is very beautiful.,मैरी बहुत सुंदर है।
Mary knows her.,मैरी उन्हें जानती है।
Mary knows her.,मैरी उसे जानती है।
Mary loves going to the spa.,मेरी को स्पा जाना पसंद है।
Mary prided herself on her beauty.,मेरी को अपनी सुंदरता पर बहुत नाज़ था।
"Mary resembles her mother in appearance, but not in character.",मेरी दिखने में तो अपनी माँ की तरह है पर चरित्र में अलग है।
Mary saw a mouse.,मैरी को एक चूहा दिखा।
Mary saw a mouse.,मैरी ने एक चूहा देखा।
Mary's doctor advised her to exercise.,मैरी के डाक्टर ने उसे व्यायाम करने की सलाह दी।
Mary's parents live in a big house.,मैरी के माता-पिता बड़े घर में रहते हैं।
Mary's parents live in a large house.,मैरी के माता-पिता बड़े घर में रहते हैं।
Mary understands Chinese.,मेरी को चीनी समझ में आती है।
Mary understands Chinese.,मेरी चीनी समझती है।
Mary used to play with dolls.,मैरी गुड़ियों के साथ खेलती थीं।
Mary wants to buy a dress.,मैरी एक ड्रेस खरीदना चाहती है।
Mary was looking for you at that time.,मेरी उस समय तुम्हें ढूँढ रही थी।
"Maybe I am unhappy, but I don't intend to kill myself.","हाँ शायद मैं दुखी हूँ, पर मुझे अपनी जान लेने का इरादा नहीं है।"
May comes after April.,मई अप्रैल के बाद आता है।
May I ask some questions?,क्या में थोड़े सवाल पूछ सकती हूं?
May I ask some questions?,थोडे सवाल पूछूं?
May I leave this book with you?,मैं यह किताब तुम्हारे पास छोड़ूँ?
May I talk with you in private about the matter?,मैं तुम्हारे साथ इस बारे में अकेले में बात कर सकता हूँ क्या?
May we accompany you on your walk?,हम तुम्हारे साथ सैर करने चलें क्या?
Meet me at my office.,मुझे मेरे दफ्तर में मिलिए।
Men are going.,आदमी जा रहे हैं।
Men whose mothers had breast cancer run a higher risk of developing prostate cancer.,जिन मर्दों की माताओं को छाती का कैंसर था उनको प्रोस्ट्रेट कैंसर होने का अधिक खदशा रहता है _
Merry Christmas!,क्रिसमस की शुभकामनाएँ!
Merry is scared of dogs.,मेरी को कुत्तों का डर है।
Mexico is a country located in North America.,मेक्सिको उत्तर अमरीका में स्थित एक देश है।
"Mike and his sister can speak French, but they can't speak Japanese.","माइक और उसकी बहन को फ़्रांसीसी बोलने आती हैं, मगर उन्हें जापानी नहीं आती।"
Mike speaks good Japanese.,माईक अच्छी जापानी बोल लेता है।
Mike takes after his father in everything.,माईक हर पहलू में अपने पापा जैसा है।
Mind you call me up tomorrow.,मुझे कल फ़ोन करना न भूल जाना।
Mind your own business!,अपने काम से काम रखो!
Mischief is common to most children.,लगभग सभी बच्चे नटखट होते हैं।
"Mom, Mary's hitting me!","माँ, मैरी मुझे मार रही है!"
"Mom, please listen to me.","माँ, मेरी बात सुनिए।"
Mom scolded me for making fun of them.,माँ ने मेरे उनका मज़ाक उड़ाने के लिए डाँट लगाई।
More than five-hundred were wounded.,पाँच सौ से ज़्यादा ज़ख्मी थे।
Moscow is the capital of Russia.,मास्को रूस की राजधानी है।
Most people are idiots.,ज़्यादातर लोग बेवकूफ होते हैं।
Most people like watching TV.,ज़्यादातर लोगों को टीवी देखना अच्छा लगता है।
Mother and I are different in every way.,मम्मी और मैं किसी भी पहलू में एक-समान नहीं हैं।
Mother bought me the book.,मम्मी ने मेरे लिए वह किताब खरीदी।
Mother is making tea for us.,माँ हमारे लिये चाय बना रही है।
Mother White next door likes reading.,पड़ोसवाली मदर व्हाईट को किताबें पढ़ना पसंद है।
Mount Everest is the world's highest peak.,एवरेस्ट पर्वत दुनिया का सबसे ऊँचा पर्वत शिखर है।
"Mr. President, my name is Khan and I am not a terrorist.","राष्ट्रपति जी, मेरा नाम खान है, और मैं आतंकवादी नहीं हूँ।"
Mr. Smith has arrived.,स्मिथ जी आ गए हैं ।
"Much as I admire him as a writer, I don't like him as a man.","मैं लेखक के तौर पर उनका आदर करता हूँ, पर इनसान के तौर पर उन्हें पसंद नहीं करता।"
Muiriel is 20 now.,म्यूरियल अब बीस साल की है।
Muiriel is 20 now.,म्यूरियल अब बीस साल की हो गई है।
Muiriel is an Indian.,म्यूरियल भारतीय है।
My bag was stolen.,मेरा बस्ता चोरी हो गया था।
My basket is under the table.,मेरी टोकरी टेबल के नीचे है।
My basket is under the table.,मेरी टोकरी मेज़ के नीचे है।
My birthday approaches.,मेरा जन्मदिन पास आ रहा है।
My birthday is one month from today.,मेरा जन्मदिन आज से एक महीने में है।
My birthday is on March 22.,मेरा जन्मदिन २२ मार्च को है।
My boss made me work last Sunday.,मेरे बॉस ने मुझसे पिछले रविवार को काम करवाया।
My boss will not say 'yes'.,"मेरे बॉस ""हाँ"" नहीं कहेंगे।"
My boyfriend was crying.,मेरा बॉयफ़्रेंड रो रहा था।
My brother depends on me for money.,मेरा भाई पैसों के लिए मुझपर निर्भर है।
My brother lives in Tokyo.,मेरा भाई टोक्यो में रहता है।
My brother works in France.,मेरा भाई फ़्रांस में काम करता है।
My brother would often stay up all night.,मेरा भाई अक्सर पूरी रात जागे रहता था।
My car is a Toyota.,मेरी गाड़ी टोयोटा है।
My class is made up of forty students.,मेरी क्लास में चालीस विद्यार्थी हैं।
"My companion said that she was too tired to walk, let alone run.","मेरी साथी ने कहा भागना तो छोड़ो, वह चलने ले किये भी थकी हुई है."
My country is far from Japan.,मेरा देश जापान से दूर है।
My dad doesn't hate you.,मेरे पापा तुम से नफ़रत नहीं करते।
My dad is not home at the moment.,मेरे पापा इस वक़्त घर पर नहीं हैं।
My daughter is in hospital because she was injured in a traffic accident.,मेरी बेटी हस्पताल में है क्योंकि उसे ट्रैफ़िक ऐक्सीडेंट में चोट पहुँची है।
My daughter is in hospital because she was injured in a traffic accident.,मेरी बेटी हस्पताल में है क्योंकि उसे यातायात दुर्घटना में चोट पहुँची है।
My eye has swollen up.,मेरी आँख सूज गई है।
My eyes are tired.,मेरी आँखें थक गईं हैं।
My family is small.,मेरा परिवार छोटा है।
My family is wealthy.,मेरा परिवार धनी है।
My father bought me a bicycle.,मेरे पिता ने मेरे लिए साइकिल खरीदी।
My father caught three fish yesterday.,मेरे पिता ने कल तीन मछलीयां पकड़ी।
My father died of cancer.,मेरे पिताजी कैंसर से चल बसे।
My father doesn't like music.,मेरे पिता को संगीत पसंद नहीं है।
My father has just come home.,मेरे पापा अभी अभी घर वापस आएँ हैं।
My father is going to China.,मेरे पिता चीन जा रहे हैं।
My father is my biggest source of inspiration.,मेरे पिताजी मेरे सबसे बड़े प्रेरणा के स्रोत हैं।
My father left me a lot of money in his will.,मेरे पिता नें अपनी वसीयत में मुझे बहुत सारे पैसे छोड़े थे।
My father stayed a few days in Frankfurt.,मेरे पिता फ़्रैंकफुर्ट में कुछ दिन रहें।
My father stopped smoking.,मेरे पिता ने सिगरेट पीना बंद कर दिया।
My father told me not to read books in bed.,मेरे पिता ने मुझसे बिस्तर में किताबें पढ़ने से मना किया।
My father went to China.,मेरे पिता चीन गये।
My favorite flavor is chocolate.,मेरा पसंदीदा फ़्लेवर चाकलेट है।
My foot fell asleep.,मेरा पाँव सो गया.
My friends celebrated my birthday.,मेरे दोस्तों ने मेरा जन्मदिन मनाया।
My girlfriend is an actress.,मेरी गर्लफ्रेन्ड अभिनेत्री है।
My grandfather is from Osaka.,मेरे नाना ओसाका के हैं।
My grandfather was murdered during the Second World War.,दूसरे विश्वयुद्ध के दौरान मेरे नाना का खून हुआ था।
My grandmother speaks slowly.,मेरी नानी धीरे-धीरे बोलतीं हैं।
My hands are dirty. I have been repairing my bicycle.,मेरे हाथ गंदे हैं। मैं अपनी साईकल ठीक कर रहा था।
My hens laid fewer eggs last year.,मेरी मुर्गियों ने पिछले साल के मुकाबले से कम अंडे दियें हैं।
My house is located at a distance from the station.,मेरा घर स्टेशन से कुछ दूरी पर है।
My jeans shrank in the wash.,मेरी जीन्स पैंट धुलाई में सिकुड़ गई।
My mother put clean sheets on the bed.,मेरी माँ ने बिस्तर पर साफ़ चादर बिछाई।
"My mother's American, and my father is Uighur. ""Really?"" ""No! I was joking!""","मेरी माँ अमरीकी है और पिता उइघुर। ""सच?"" ""नहीं! मैं बस मज़ाक कर रहा था।"""
My mother told me to do a careless job of it.,मेरी माँ ने मुझसे घास काटने के लिए कहा।
My mother was crying.,मेरी माँ रो रही थी।
My name is Ahmad.,मेरा नाम अहमद है।
My name is Andrea.,मेरा नाम एंड्रिया है।
My name is Emily.,मेरा नाम एमिली है।
My name is Francesco.,मेरा नाम फ़्रांचेस्को है।
My name is Hase.,मेरा नाम हासे है।
My name is Hopkins.,मेरा नाम हॉपकिंस है।
My name is Jack.,मेरा नाम जैक है।
My name is James.,मेरा नाम जेम्स है।
My name is Jim.,मेरा नाम जिम है।
My name is John.,मेरा नाम जॉन है।
My name is omitted from the list.,मेरा नाम सूची में नहीं आया।
My name is on the door.,दरवाजे पर मेरा नाम है।
My name is Rahul.,मेरा नाम राहुल है।
My name is Roberto.,मेरा नाम रोबेर्टो है।
My name is Soundararajan.,मेरा नाम सौंदरराजन है।
My name is Tom. How can I help you?,मेरा नाम टॉम है। मैं आपकी क्या मदद कर सकता हूँ?
My name is Tom.,मेरा नाम टॉम है।
My name is Wang Jiaming.,मेरा नाम वांग जियामिंग है।
My name is Wang.,मेरा नाम वांग है।
My native language is Portuguese.,मेरी मातृ भाषा पुर्त्तगाली है।
My opinion is entirely different from yours.,मेरी सोच तुम्हारी सोच से बिलकुल अलग है।
My orders should be carried out.,मेरे हुक्म की तामील की जाय।
My parents have just arrived at the station.,मेरे माता-पिता अभी-अभी स्टेशन पर पहुँचें हैं।
My partner grills the best mushrooms.,मेरा साथी सबसे अच्छे मशरूम बनाता है।
My pen has run out of ink! Can I borrow your pen?,मेरी कलम में स्याही खतम हो गई है। मैं तुम्हारी कलम ले सकता हूँ क्या?
My right foot is sleeping.,मेरा दाहिना पैर सो गया है।
My room has only one window.,मेरे कमरे में केवल एक खिड़की है।
My room has only one window.,मेरे कमरे में बस एक ही खिड़की है।
My sister is very fond of children.,मेरी बहन को बच्चों से बहुत प्यार है।
My sister started crying.,मेरी बहन रोने लगी।
My son can read a clock.,मेरा बेटा घड़ी देखकर समय बता सकता है।
My son went to Iran.,मेरा बेटा ईरान चला गया।
My spoon is bigger!,मेरा चमच ज़्यादा बड़ा है!
My stomach is growling.,मेरा पेट गुड़गुड़ा रहा है।
My telephone is out of order.,मेरा फ़ोन खराब है।
My throat has dried up.,मेरा गला सूख गया है।
My TV has broken down.,मेरे टीवी का फिरसे भट्टा बैठ गया है।
My uncle has a house in Italy.,मेरे चाचा का इटली में एक घर है।
My uncle has a house in Italy.,मेरे मामा का इटली में एक घर है।
My uncle is an amateur cricket player.,मेरे चाचा क्रिकेट के शौकिया खिलाड़ी हैं।
My uncle is an amateur cricket player.,मेरे मामा क्रिकेट के शौकिया खिलाड़ी हैं।
My uncle lives in Germany.,मेरे चाचा जर्मनी में रहते हैं।
My uncle lives in Germany.,मेरे मामा जर्मनी में रहते हैं।
"My uncle lives in Madrid, the capital of Spain.",मेरे मामा स्पेन की राजधानी मेड्रिड में रहते हैं।
My whole body feels heavy.,मेरा पूरा शरीर भारी सा लगता है।
My wife is Chinese.,मेरी पत्नी चीनी है।
My wife is cooking.,मेरी पत्नी पका रही है।
My wife really hates cats.,मेरी बीवी को बिल्लियों से नफ़रत है।
Nancy received much solace from the cards and phone calls received from friends in the weeks after her husband died.,अपने पति की मृत्यु के बाद मित्रों के फोन और पत्रों से नेन्सी को काफी सांत्वना मिली।
Naturally.,स्वभाविक रूप से.
"Natural mineral water contains calcium, magnesium, sodium, potassium as well as nitrate.","प्राकृतिक खनिज पानी में समाहित है चूर्णातु, भ्राजातु, क्षारातु, दहातु, व भूयीयों भी।"
Nature is changing.,प्रकृति बदल रही है।
Nehi is a woman.,नेहा एक औरत है।
Never hesitate to hold out your hand.,अपना हाथ आगे बढ़ाने से कभी मत हिचकिए।
Never mind!,कोई बड़ी बात नहीं है!
New Delhi is the capital of India.,भारत की राजधानी नई दिल्ली है।
New York is a big city.,न्यू यॉर्क बड़ा शहर है।
Next year I'm going to Hawaii.,अगले साल मैं हवाई जा रही हूँ।
Nice to meet you.,आपसे मिलकर खुशी हुई।
Nijmegen is the oldest city in the Netherlands.,नैइमेग़न नीदरलैंड में सबसे पुराना शहर है।
Nobody answered my question.,किसी ने भी मेरे सवाल का जवाब नहीं दिया।
Nobody came.,कोई नहीं आया।
Nobody can escape death.,मौत से कोई नहीं बच सकता है।
Nobody can stop us now.,अभी हमें कोई नहीं रोक सकता।
Nobody could tell what he meant by that.,कोई नहीं बता सका उसका वह कहने से मतलब क्या था।
Nobody here eats meat.,यहाँ कोई गोश्त नहीं खाता है।
Nobody knows my country.,मेरा देश कोई नहीं जानता।
Nobody's around.,आसपास कोई नहीं है।
No! Did he really say that? You can't be serious!,हँ! उसने सच में ऐसा कहा क्या? ऐसा कैसे हो सकता है!
"No, I didn't go.","नहीं, मैं नहीं गया था।"
"No, I don't think that I am to blame.","नहीं, मुझे नहीं लगता कि ग़लती मेरी है।"
"No, I'm not afraid of ghosts.","नहीं, मैं भूतों से नहीं डरता।"
No I'm not; you are!,"मैं नहीं हूँ, तुम हो!"
Nonsense!,बकवास!
No one believed in his innocence.,किसी ने भी उसके निर्दोष होने पर विश्वास नहीं किया।
No one believes that he is innocent.,किसी को भी उसके निर्दोष होने का यकीन नहीं है।
No one can deny the fact that the earth is round.,पृथ्वी गोल है इस तथ्य को कोई भी ग़लत ठहरा नहीं कर सकता।
No other language is as beautiful as Portuguese.,पुर्त्तगाली जितनी सुंदर और कोई भाषा नहीं है।
Nope.,नही.
Not all teachers behave like that.,सभी शिक्षक वैसा व्यवहार नहीं करते।
Not a word he says is worthy to be heard.,उसका कहा हुआ एक शब्द भी सुनने लायक नहीं है।
Nothing but a miracle can save her now.,अब तो उसे कोई चमत्कार ही बचा सकता है।
Nothing happened.,कुछ नहीं हुआ।
Nothing here is mine.,यहाँ का कुछ भी मेरा नहीं है।
Nothing is working.,कुछ भी काम नहीं कर रहा।
Nothing'll happen.,कुछ नहीं होगा।
Nothing's there.,वहाँ कुछ नहीं है।
Nothing will happen to him.,उसे कुछ नहीं होगा।
"Not long ago we heard a father say in the presence of his large family, ""I don't want any of my boys to be lawyers.""",हाल ही में हमने एक पिता को यह बोलते सुना कि उसका कोई भी लड़का बड़ा होके वकील नहीं बनेगा.
"Not only did I eat pulao, but I also ate kebabs.","मैंने पुलाव ही नहीं, बल्कि कबाब भी खाए।"
"Not only does a rock drown, but it drowns others with it.",ख़ुद डूब कर पत्थर दूसरे को डुबो देता है।
"Now, go have a good time. The work can wait.",जाओ मौज करो। काम थोड़ी देर रुक सकता है।
Now go home.,अब घर जाइए।
Now help me.,अब मेरी मदद करो।
Now help me.,अब मेरी मदद कीजिए।
Now I'll introduce my parents to you.,अब मैं तुम्हारी मुलाक़ात अपने पापा-मम्मी से करवाता हूँ।
Now it's here.,अभी यहाँ है।
Now it's your turn.,अब तुम्हारी बारी है।
Now stop crying.,बस अब रोना बंद करो।
"Now that we've bought new furniture for the room, why not throw away this old, worn-out furniture?","अब ज्योंकि कमरे का नया फ़र्निचर खरिद चुका है, इस फटे-पुराने फ़र्निचर को क्यों न फेंक दें!"
Now they have three children.,अब उनके तीन बच्चे हैं।
Now we are seven Arabs.,अभी हम सात अरब हैं।
Obviously.,स्पष्ट रूप से.
Of course.,ज़रूर।
Of course.,बिल्कुल।
"Oh, here comes Chris.","लो, क्रिस आ गए।"
"Oh, here comes Chris.","लो, क्रिस आ गया।"
"Oh, my God!",हे मेरे भगवान!
"Oh, no! We're running out of gas.",अरे नहीं! पेट्रोल खतम होने वाला है।
Oh! Show me how.,अरे! मुझे भी सिखाओ!
OK.,ठीक है।
Once again.,और एक बार।
One day he helped a weak turtle.,उसने एक दिन एक कमज़ोर कछुए की मदद करी।
One is blue.,एक नीला है।
One is blue.,एक नीली है।
One kind word can warm three winter months.,एक मीठा बोल सर्दी के तीन महीनों को ऊष्मा दे सकता है।
One language is never enough.,एक भाषा कभी भी काफ़ी नहीं होती।
One language will never be enough.,एक भाषा कभी भी काफ़ी नहीं होगी।
"One lives in Fukuoka, and the others live in Niigata.","एक फ़ुकुओका में रहता है, और बाकी निइगाता में रहते हैं।"
"One lives in Fukuoka, and the others live in Niigata.","एक फ़ुकुओका में रहती है, और बाकी निइगाता में रहते हैं।"
One must be patient with children.,बच्चों के साथ हमें सहनशीलता से पेश आना चाहिए।
One of Hamilton's friends explained the rules.,हॅमिल्टन के दोस्तों में से एक ने नियम समझाएं।
One of my bags is missing.,मुझे अपनी एक अटैची मिल नहीं रही है।
One of them is lying.,उनमें से एक झूठ बोल रही है।
Only 5 million people live in Norway.,नॉर्वे में बस ५० लाख लोग रहते हैं।
Only a few people didn't go there.,बहुत कम लोग थे जो वहाँ नहीं गए।
Only a few people listened to him.,उसकी बात कुछ ही लोगों ने सुनी।
On no account must you go out today.,तुम किसी भी हालत में आज बाहर नहीं जा सकते।
"On the fifteenth of August, thousands of people fly kites.",पंद्रह अगस्त के दिन हज़ारों लोग पतंग उड़ातें हैं।
"On the one hand, you are wrong, but on the other hand, I can't blame you for that.","तुम ग़लत तो ज़रूर हो, पर मैं इसके लिए तुम्हें दोषी भी नहीं ठहरा सकता।"
On what kind of bread?,किस तरह की ब्रेड पर?
"O Our Father in Heaven, Holy be your name, Your Kingdom come, Your will be done, on earth, as it is in heaven. Give us this day our daily bread, and forgive us our sins, as we also have forgiven our sinners. And lead us not into temptation, but deliver us from evil.","हे हमारे स्वरगिक पिता, तेरा नाम पवित्र माना जाए, तेरा राज्य अाए, तेरी इच्छा जैसे स्वर्ग मे॑ पूरी होती है॑, वैसे पर्िथ्वी पर भी हो, आज हमे॑ उतना भोजन दे, जो हमारे लिए आवश्क है, हमारे अपराध शमा कर, जैसे हम दूसरो के अपराध शमा करते है, हमारे विश्वास को मत परख पर॑तु हमे शैतान से बचा."
Open an account.,खाता खोलें।
Open the door.,दरवाज़ा खोलिए।
Open your mouth!,अपना मूँह खोलो!
Our class consists of fifty boys.,हमारी कक्षा में पचास लड़के हैं।
Our club is open all night.,हमारा क्लब पूरी रात खुला है।
Our complete plan got spoiled.,पूरा प्लान चौपट हो गया।
"Our customers are in Taiwan, explained Tom.","हमारे ग्राहक ताइवान में हैं, टॉम ने समझाया।"
Our health is our most precious possession.,हमारा स्वास्थ्य हमारी सबसे कीमती संपत्ति होती है।
Our main office is in Osaka.,हमारा मुख्य कार्यालय ओसाका में है।
Our new head office is in Tokyo.,हमारा नया प्रधान कार्यालय टोकियो में है।
Our team isn't very good.,हमारी टीम बहुत अच्छी नहीं है।
Our team won the game.,हमारी टीम ने खेल जीता।
Our wallets were stolen.,हमारे बटुआ को चुराया गया।
"Out of the students, only one had read that book.",विद्यार्थियों में से केवल एक ही ने किताब को पढ़ा था।
Out!,आउट!
Pakistan is a Muslim country.,पाकिस्तान मुस्लिम देश है।
Paraguay is a country in South America.,पराग्वे दक्षिण अमेरिका में स्थित एक देश है।
Parents are responsible for the safety of their children.,मातापिता अपने बच्चों की सुरक्षा के लिए ज़िम्मेदार होते हैं।
Paris is the capital of France.,पैरिस फ़्रांस की राजधानी है।
Park the car in the shade.,गाड़ी छाँव में पार्क करो।
Participate!,हिस्सा लो!
Password?,पासवर्ड?
